,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
208,-0.2263,0.101,0.899,0.0,09-20-2017 20:11:24,Zuckerberg could soon make a rare appearance on the witness stand in response to a lawsuit by Facebook shareholders https://t.co/TyFcND5Nb3,8,@CNN
209,0.4215,0.0,0.843,0.157,09-20-2017 16:40:57,First lady Melania Trump is speaking at a United Nations luncheon. Watch live on CNN: https://t.co/UYpqI3esEb https://t.co/60RnC3dazQ,9,@CNN
210,-0.2023,0.101,0.899,0.0,09-20-2017 13:30:04,"The Australian refugee deal that Donald Trump once derided as ""stupid"" and ""horrible"" is going ahead https://t.co/X8EHsstkIo",10,@CNN
211,0.0,0.0,1.0,0.0,09-20-2017 12:10:05,"Trump's ""Rocket Man"" nickname for Kim Jong Un doesn't make any sense, Michael D'Antonio writes for @CNNOpinion https://t.co/eY7KDWrLv4",11,@CNN
212,-0.5994,0.218,0.782,0.0,09-20-2017 11:00:02,This was the view from the ground as a violent magnitude-7.1 earthquake rocked Mexico https://t.co/FLUKlfmTkW https://t.co/djvt5UBnzh,12,@CNN
213,0.0,0.0,1.0,0.0,09-20-2017 09:40:06,"""When the earthquake hit, I was on a moving plane on the runway at Mexico City airport"" https://t.co/5JWekD6lUf",13,@CNN
214,0.0,0.0,1.0,0.0,09-20-2017 07:01:09,"""When the earthquake hit, I was on a moving plane on the runway at Mexico City airport"" https://t.co/ixXcboMZO5",14,@CNN
215,-0.5994,0.218,0.782,0.0,09-20-2017 04:16:29,This was the view from the ground as a violent magnitude-7.1 earthquake rocked Mexico https://t.co/aAmAoW7BB5 https://t.co/R2zeGMvF3G,15,@CNN
216,-0.296,0.121,0.879,0.0,09-20-2017 01:51:16,"Americans are worried about the Equifax hack. They're just not doing much about it, a poll suggests.… https://t.co/TIKO9Aqc9I",16,@CNN
217,0.0,0.0,1.0,0.0,09-19-2017 23:24:31,Israeli PM Benjamin Netanyahu took aim at Iran in a #UNGA speech with a message tailored for 1 man: President Trump… https://t.co/QNWzCRIH3n,17,@CNN
218,-0.743,0.283,0.717,0.0,09-19-2017 21:06:30,"BREAKING: At least 44 people are dead after a magnitude-7.1 earthquake that struck in Mexico, an official says… https://t.co/i6VhGImma7",18,@CNN
219,0.4215,0.0,0.823,0.177,09-19-2017 18:30:14,This charity rented out President Trump's childhood home and invited over refugees https://t.co/McHocJjeto https://t.co/WKovdGH6BT,19,@CNN
220,0.0,0.0,1.0,0.0,09-19-2017 15:22:19,The Republican Party’s last-ditch effort to repeal Obamacare is coming down to this one GOP Senator -- again… https://t.co/M2V9EzFP2D,20,@CNN
221,0.4168,0.0,0.873,0.127,09-19-2017 12:50:13,"The US is considering shooting down North Korean missiles even when they are not a direct threat, an official says… https://t.co/8PcOfJtloU",21,@CNN
222,0.0,0.0,1.0,0.0,09-19-2017 09:30:06,It's official: Taiwanese electronics manufacturer Foxconn will get $3 billion to build a plant in Wisconsin… https://t.co/s54aL0RX1z,22,@CNN
223,0.3182,0.082,0.779,0.139,09-19-2017 05:46:07,Sens. McCain and Murkowski are among the several Republicans who are undecided on the new GOP health care bill… https://t.co/mzG9Dx4YqG,23,@CNN
224,0.2755,0.0,0.869,0.131,09-19-2017 03:37:07,The world cannot ignore the plight of Rohingya Muslims | Emine Erdo?an writes for @CNNOpinion… https://t.co/6Jjv8CLPjl,24,@CNN
225,0.0,0.0,1.0,0.0,09-19-2017 01:15:36,Republican senators' latest attempt to repeal Obamacare could be the most far-reaching of GOP efforts this year https://t.co/il7REiG8H8,25,@CNN
226,0.3338,0.0,0.871,0.129,09-18-2017 23:21:55,"President Trump describes ""long"" call with Chinese President Xi Jinping: ""We have a very, very fine relationship"" https://t.co/Ehvl17RUiT",26,@CNN
227,0.0,0.0,1.0,0.0,09-18-2017 21:17:14,Myanmar's de facto leader Aung San Suu Kyi will on Tuesday publicly address the bloodshed in Rakhine State https://t.co/mjiUMsb45R,27,@CNN
228,0.0772,0.0,0.86,0.14,09-18-2017 18:26:44,Want a job as a NASA astronaut? Read this https://t.co/rgczVPzCp8 https://t.co/zCNlzuWKbt,28,@CNN
229,-0.2023,0.122,0.878,0.0,09-18-2017 14:47:03,Donald Trump's unpresidential presidency keeps hitting new lows I Analysis by Chris Cillizza https://t.co/AVYg2cAMR8 https://t.co/P7gGrO7wby,29,@CNN
230,0.0,0.0,1.0,0.0,09-18-2017 12:20:06,Neil deGrasse Tyson says it might be 'too late' to recover from climate change https://t.co/t3PDSk2ncG,30,@CNN
231,0.4767,0.0,0.78,0.22,09-18-2017 09:15:03,Here's the complete list of winners at the 2017 #Emmys https://t.co/KH4qPqmF6X https://t.co/nGdFByXhTr,31,@CNN
232,0.2732,0.0,0.87,0.13,09-18-2017 05:25:06,Former White House press secretary Sean Spicer made a surprise cameo at the #Emmys https://t.co/xDylbGKbXX https://t.co/L7ntkZiYKq,32,@CNN
233,0.7783,0.074,0.625,0.301,09-18-2017 02:37:05,"RT @CNNent: Nicole Kidman wins Outstanding Lead Actress in a Limited Series or TV Movie for #BigLittleLies #Emmys
https://t.co/l3ccLYndxL h…",33,@CNN
234,0.0,0.0,1.0,0.0,09-18-2017 00:00:22,Stephen Colbert returns to the #Emmys in Trump-fueled turnaround https://t.co/UKDQYpxwI3 https://t.co/8ImgdjrpQk,34,@CNN
235,-0.3612,0.171,0.829,0.0,09-17-2017 18:41:21,"RT @CNNPolitics: Sen. Bernie Sanders disputes Hillary Clinton: ""I worked as hard as I could"" to elect her https://t.co/gPYP5U14tS https://t…",35,@CNN
236,-0.6249,0.194,0.806,0.0,09-17-2017 14:24:12,"Aung San Suu Kyi ""doesn't really have the authority,"" to deal with the Rohingya crisis says @FraserNelson https://t.co/Zs2SLlQABI",36,@CNN
237,0.0,0.0,1.0,0.0,09-17-2017 07:00:20,"23andMe, the genetics testing startup, wants to develop drugs based on your DNA https://t.co/kGnYRmWKPy https://t.co/o3ISEzx3w0",37,@CNN
238,0.3612,0.0,0.839,0.161,09-16-2017 23:31:10,"What's the new $1,000 iPhone like? We got our hands on one: https://t.co/spjCfF3aug https://t.co/43bp48LHww",38,@CNN
239,0.0,0.0,1.0,0.0,09-16-2017 19:40:12,How the Equifax data breach happened: What we know now https://t.co/UW8tZKnhXD https://t.co/9Cw4SMLsIG,39,@CNN
240,-0.533,0.251,0.624,0.125,09-16-2017 16:10:30,"Identity theft is bad news for everyone, but it's especially dangerous for young adults who may need credit sooner https://t.co/mzCDpYlK54",40,@CNN
241,-0.2732,0.095,0.905,0.0,09-16-2017 12:30:18,"After goodwill during the Obama years, the views of Mexicans toward the US has hit a record low, new study shows… https://t.co/TwPx66lbbo",41,@CNN
242,0.8126,0.0,0.619,0.381,09-16-2017 08:00:14,Selena Gomez reveals that she received a kidney transplant from her best friend https://t.co/NX9A1MZHli https://t.co/777rLPjAhp,42,@CNN
243,-0.8271,0.339,0.661,0.0,09-16-2017 03:31:03,"Florida Keys residents trickle back to warning of new crisis: no fuel, power, running water and other basic service… https://t.co/eVfmeoowOp",43,@CNN
244,-0.7003,0.254,0.746,0.0,09-16-2017 00:43:44,The scene of protests in St. Louis after an ex-officer's acquittal in a 2011 shooting death. @dansimoncnn has more https://t.co/Tq1QswR9x3,44,@CNN
245,0.34,0.0,0.844,0.156,09-15-2017 22:11:43,"Equifax's chief information officer and chief security officer are retiring, the company announced… https://t.co/cOPNku16nO",45,@CNN
246,0.0,0.0,1.0,0.0,09-15-2017 19:36:08,Pence family rabbit Marlon Bundo will appear in a book about the BOTUS' life alongside the VP… https://t.co/fy9HYwEgGj,46,@CNN
247,0.0,0.0,1.0,0.0,09-15-2017 16:39:49,"Report: At White House dinner, Nancy Pelosi asked, 'Do the women get to talk around here?' https://t.co/nQS82KArrW https://t.co/heUF3w8Mpv",47,@CNN
248,0.0516,0.118,0.755,0.127,09-15-2017 13:43:03,"AG Sessions receives message of support from President Trump after new report of past turmoil, source says… https://t.co/nI3ZpacEdj",48,@CNN
